Target Halo ID,Total Halos (Predicted),Total Halos (Real),True Positive,False Positive,False Negative,Total Merger Events (Predicted),Successfully Predicted Merger Events,Total Merger Events
43000000000015,49,18,18,31,0,,1,1.0
47000000000081,74,22,22,52,0,,2,2.0
34000000000018,9,9,9,0,0,,0,0.0
45000000000030,26,26,26,0,0,,0,0.0
45000000000012,46,33,33,13,0,,2,2.0
39000000000004,29,25,25,4,0,,2,2.0
35000000000001,20,20,20,0,0,,2,2.0
42000000000432,20,12,12,8,0,,0,0.0
44000000000034,43,29,29,14,0,,2,2.0
44000000000103,17,17,17,0,0,,0,0.0
38000000000034,1,1,1,0,0,,0,0.0
45000000000032,19,19,19,0,0,,1,1.0
43000000000031,21,16,16,5,0,,0,0.0
45000000000001,33,39,32,1,7,,4,4.0
40000000000032,21,14,14,7,0,,1,1.0
45000000000295,37,25,25,12,0,,0,0.0
42000000000126,14,14,14,0,0,,0,0.0
41000000000012,17,17,17,0,0,,1,1.0
40000000000044,19,12,12,7,0,,1,1.0
43000000000156,17,16,16,1,0,,0,0.0
43000000000018,24,24,24,0,0,,3,3.0
45000000000041,14,14,14,0,0,,0,0.0
40000000000045,43,28,28,15,0,,1,1.0
42000000000045,47,32,32,15,0,,2,2.0
44000000000021,52,20,20,32,0,,4,4.0
44000000000004,25,25,25,0,0,,3,3.0
44000000000065,21,21,21,0,0,,1,1.0
43000000000023,51,19,19,32,0,,4,4.0
41000000000096,20,16,16,4,0,,2,2.0
45000000000073,18,18,18,0,0,,0,0.0
40000000000019,6,6,6,0,0,,0,0.0
44000000000192,61,29,29,32,0,,1,1.0
39000000000042,2,2,2,0,0,,0,0.0
45000000000027,23,18,18,5,0,,0,0.0
43000000000097,40,14,14,26,0,,1,1.0
38000000000085,16,10,10,6,0,,1,1.0
44000000000026,49,46,29,20,17,,2,2.0
43000000000009,23,17,17,6,0,,2,2.0
45000000000013,69,21,21,48,0,,2,2.0
31000000000021,6,6,6,0,0,,0,0.0
40000000000014,20,20,20,0,0,,0,0.0
43000000000003,44,40,40,4,0,,1,1.0
44000000000177,1,1,1,0,0,,0,0.0
45000000000133,38,23,23,15,0,,1,1.0
43000000000279,43,18,18,25,0,,0,0.0
44000000000150,13,11,11,2,0,,0,0.0
45000000000022,68,38,38,30,0,,5,5.0
43000000000016,25,24,24,1,0,,0,0.0
41000000000009,40,27,27,13,0,,1,1.0
41000000000045,45,29,29,16,0,,1,1.0
44000000000025,22,17,17,5,0,,0,0.0
45000000000424,13,13,13,0,0,,0,0.0
39000000000024,22,24,22,0,2,,2,2.0
39000000000212,2,2,2,0,0,,0,0.0
44000000000019,33,27,27,6,0,,3,3.0
41000000000042,46,43,26,20,17,,2,2.0
43000000000044,55,34,34,21,0,,3,3.0
45000000000048,15,15,15,0,0,,0,0.0
44000000000014,68,20,20,48,0,,2,2.0
45000000000007,40,50,32,8,18,,3,3.0
45000000000138,17,16,16,1,0,,1,1.0
43000000000002,39,20,20,19,0,,2,2.0
45000000000023,49,21,21,28,0,,0,0.0
35000000000021,16,16,16,0,0,,0,0.0
45000000000018,46,30,30,16,0,,3,3.0
41000000000025,24,16,16,8,0,,2,2.0
32000000000012,7,7,7,0,0,,0,0.0
39000000000013,19,19,19,0,0,,0,0.0
43000000000137,22,2,2,20,0,,0,0.0
43000000000047,34,24,24,10,0,,0,0.0
34000000000028,4,4,4,0,0,,0,0.0
43000000000024,25,22,22,3,0,,1,1.0
41000000000083,2,2,2,0,0,,0,0.0
42000000000030,47,30,30,17,0,,1,1.0
30000000000033,5,5,5,0,0,,0,0.0
39000000000011,21,21,21,0,0,,1,1.0
43000000000010,42,29,29,13,0,,1,1.0
42000000000017,23,23,23,0,0,,0,0.0
43000000000040,30,23,23,7,0,,2,2.0
39000000000233,3,1,1,2,0,,0,0.0
42000000000011,38,19,19,19,0,,2,2.0
40000000000008,39,26,26,13,0,,1,1.0
44000000000090,41,15,15,26,0,,1,1.0
34000000000007,23,19,15,8,4,,1,1.0
42000000000020,48,17,17,31,0,,1,1.0
42000000000056,47,17,17,30,0,,3,3.0
39000000000078,18,11,11,7,0,,1,1.0
44000000000418,2,2,2,0,0,,0,0.0
44000000000029,64,36,36,28,0,,4,4.0
38000000000037,3,3,3,0,0,,0,0.0
45000000000002,51,37,37,14,0,,3,3.0
43000000000094,5,5,5,0,0,,0,0.0
44000000000003,45,41,41,4,0,,1,1.0
45000000000005,47,32,32,15,0,,4,4.0
44000000000005,37,27,27,10,0,,2,2.0
39000000000034,19,18,18,1,0,,1,1.0
37000000000001,23,30,23,0,7,,3,3.0
41000000000134,11,11,11,0,0,,0,0.0
39000000000033,2,2,2,0,0,,0,0.0
39000000000006,20,20,20,0,0,,0,0.0
44000000000002,50,36,36,14,0,,3,3.0
